id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
5512191;QUARTO RIO DE JANEIRO ST TERESA.LRG GUIMARÃES-SLT1;13180189;Cristina;;Santa Teresa;-22.91946918;-43.18678154;Private room;60;3;10;21/08/2018;0.31;3;291
21177025;Quarto silencioso;7267399;Maria;;Jardim Botânico;-22.96732836;-43.23100996;Private room;199;2;0;;;1;90
2651151;Quarto simples 1 ou 2 pessoas;13412891;Cecilia;;Recreio dos Bandeirantes;-23.02163232;-43.46011014;Private room;90;2;10;20/08/2018;0.38;2;308
4751123;Quarto Standard 1 Gerthrudes B&B;24295309;Adriana;;Santa Teresa;-22.92081326;-43.18318821;Private room;252;2;0;;;5;365
14472388;Quarto suíte especial no Méier.;81988805;Antonio;;Méier;-22.89745757;-43.27446928;Private room;150;1;0;;;1;365
12980057;Quarto suíte Individual para Moça;67653406;Luiz Fernando Rodrigues;;Tijuca;-22.93803811;-43.24964077;Private room;79;3;0;;;1;179
22147962;Quarto suite;154210335;Rogerio;;Copacabana;-22.97005255;-43.18748939;Private room;379;3;0;;;1;363
3072678;Quarto Triplo Superior;15636834;Diamond;;Centro;-22.91712676;-43.17779508;Private room;379;1;0;;;1;365
27756579;quarto, com beliche, Tijuca;205030825;Andre;;Tijuca;-22.92948029;-43.23118408;Private room;60;1;0;;;1;82
3298142;Quarto/Private Room in Botafogo-RJ;14222374;Neuza;;Botafogo;-22.9499802;-43.17722058;Private room;71;1;3;30/07/2015;0.06;3;365
14824163;QUARTOS  PARAOLIMPIADA PARQUE OLIMPICO  RIO CENTRO;92328193;Daniela;;Vargem Pequena;-22.9881904;-43.44039823;Private room;563;1;0;;;3;365
15968155;Quartos em Ap no Cosme Velho, ao lado do Cristo!;8534071;Guilherme;;Cosme Velho;-22.94089571;-43.1983917;Entire home/apt;98;2;0;;;2;179
14330587;Quartos em casa Barra da Tijuca Rj;87710580;Bruno;;Itanhangá;-22.99922488;-43.31070008;Private room;90;3;0;;;1;178
10030385;Quartos p carnaval Sta Teresa;11637880;Ingrid;;Santa Teresa;-22.91547361;-43.19098281;Private room;86;1;0;;;4;365
2350757;QUARTOS P/ CARNAVAL, COPA DO MUNDO;12003718;Rossana;;Centro;-22.91537581;-43.17718539;Private room;361;5;0;;;1;365
28224606;Quartos top leblon;150425725;Alexandre;;Leblon;-22.98546274;-43.23245111;Private room;240;1;0;;;3;97
7324913;Quarto-sala aconchegante no Grajaú;26524990;Felipe;;Grajaú;-22.91819079;-43.26686858;Entire home/apt;154;3;2;2/04/2018;0.25;1;362
2760637;Quiet and Convenient in COPACABANA;1316227;Paula;;Copacabana;-22.97690908;-43.1912457;Entire home/apt;969;1;0;;;1;0
2580109;Quiet and Cozy Recreio beach;2728279;Antonio;;Recreio dos Bandeirantes;-23.01473102;-43.45261827;Entire home/apt;274;2;4;29/03/2016;0.1;2;362
2648870;Quiet, spacious & wonderful view;13229586;Julia;;Cosme Velho;-22.93850923;-43.19762254;Entire home/apt;601;3;1;20/07/2014;0.02;1;359
22327234;Quitinete Aconchegante na Urca (3 pessoas);163234977;Ágata;;Urca;-22.94525153;-43.16134023;Entire home/apt;300;1;0;;;2;0
5277240;Quitinete ampla Rio de Janeiro ;27275970;Renato;;Flamengo;-22.92670874;-43.17451978;Entire home/apt;300;1;0;;;1;0
10403059;R$1000 temporada no Rio  de Janeiro;53566064;Veronica;;Olaria;-22.84253106;-43.26567415;Shared room;128;30;0;;;1;365
16836123;Réveillon em laranjeiras;52230773;Michelle;;Laranjeiras;-22.93788967;-43.19367615;Entire home/apt;349;3;0;;;1;363
14418481;RAMOS/FARIA;88712815;Rodrigo;;Jacarepaguá;-22.97168041;-43.38454316;Entire home/apt;1750;6;0;;;1;88
13928307;Real Copacabana;82743327;Ayrton;;Copacabana;-22.96723657;-43.18407479;Entire home/apt;560;1;0;;;1;0
22433820;Really nice 1 bedroom apartment in Copacabana!;11739;Eric;;Copacabana;-22.96238017;-43.1763506;Entire home/apt;180;3;3;30/07/2018;0.32;7;55
15929876;Really our place;103021865;Jochen;;Copacabana;-22.976229;-43.190985;Entire home/apt;1799;2;0;;;1;88
15200759;RECANTO NAS ALTURAS;96445730;Fernando;;Copacabana;-22.9823479;-43.19304988;Entire home/apt;105;2;38;8/10/2018;1.55;2;49
22791532;Recarregue as energias a poucos passos dos blocos;4295938;Alexandre;;Flamengo;-22.93868545;-43.1749192;Entire home/apt;398;2;0;;;1;0
7661376;Recreio 3 quartos lado BRT Shopping;38153155;Robson;;Recreio dos Bandeirantes;-23.01243187;-43.46237289;Entire home/apt;601;1;0;;;2;365
13109100;recreio apartment for olimpics;67746871;Fabio;;Recreio dos Bandeirantes;-23.02135533;-43.47453221;Entire home/apt;676;15;0;;;1;358
14915462;RECREIO COM CONFORTO E SEGURANÇA;22590982;Wilson;;Recreio dos Bandeirantes;-23.02258269;-43.48768518;Entire home/apt;199;2;11;30/09/2018;0.51;1;332
24070771;Recreio dos Bandeirantes;181235258;Guilhermina;;Recreio dos Bandeirantes;-23.01610539;-43.46043425;Private room;199;2;0;;;1;363
27236477;Recreio Dos Bandeirantes Apartamento;48847647;Sergio;;Recreio dos Bandeirantes;-23.02570287;-43.48236515;Entire home/apt;120;3;0;;;2;363
8823011;RECREIO DOS BANDEIRANTES POSTO 10;46215822;Adriana;;Recreio dos Bandeirantes;-23.01699728;-43.46339435;Private room;349;4;1;15/08/2016;0.04;2;180
11387611;Recreio dos Bandeirantes posto 10;59716957;Adriana;;Recreio dos Bandeirantes;-23.0219512;-43.46263086;Entire home/apt;601;1;0;;;1;365
11941509;Recreio olimpiadas Olimpic Games;62997442;Paulo Gustavo;;Recreio dos Bandeirantes;-23.01450435;-43.45529728;Entire home/apt;901;3;0;;;1;358
13361788;RECREIO, room for singles;27853668;Joao Henrique;;Recreio dos Bandeirantes;-23.01514954;-43.45275919;Private room;300;5;0;;;1;364
3176497;Reformado, completo, perto da praia;16106977;Thais;;Copacabana;-22.96466483;-43.18007731;Entire home/apt;199;2;30;9/09/2018;0.66;1;331
21891542;relax in rio magnifica casa em otima vizinhança;77767741;Fernando;;Anil;-22.94661449;-43.33163927;Private room;282;2;0;;;1;363
13548896;Renewed Cozy Studio in Lapa #1108;77992661;Marisa;;Centro;-22.91560412;-43.17685739;Entire home/apt;451;3;5;14/02/2018;0.19;3;177
7480773;Renovated Apartment-Beach Block;6373450;Paulo;;Copacabana;-22.97592227;-43.19014095;Entire home/apt;436;1;5;2/01/2018;0.15;1;364
2315406;RENT A HOUSE CUP 2014;11786737;Luiz;;Andaraí;-22.9232329;-43.24989896;Entire home/apt;3001;15;0;;;2;365
3020345;Rent a room in Rio;15390482;Antonio;;Andaraí;-22.92231539;-43.24342955;Private room;575;2;0;;;1;358
2281491;Rent apartament for World Cup;11652011;Rachel;;Engenho Novo;-22.91432594;-43.27329164;Entire home/apt;751;1;0;;;1;365
14038185;Rent for Olympic Games - 2 bedrooms and 3 beds;84094636;Rosemary;;Andaraí;-22.92643759;-43.25147513;Entire home/apt;939;7;0;;;1;364
2931050;RENT FOR SEASON (OLYMPIC GAMES);12412662;Bruno;;Gardênia Azul;-22.95887082;-43.35114454;Private room;101;1;0;;;1;0
910817;Rent in Rio;4886880;Micaela;;Ipanema;-22.98621638;-43.19331879;Entire home/apt;1998;4;0;;;1;358
3153268;Rent in Rio de Janeiro;10336649;Andre;;Barra da Tijuca;-22.98986199;-43.34905088;Private room;1127;1;0;;;1;0
2550242;Rent Olimpiadas Rio 2016;13057144;João;;Barra da Tijuca;-23.00828765;-43.30687305;Entire home/apt;1315;1;0;;;1;365
23140209;Rent Room Carnival- Copacabana / Rio de Janeiro;171194125;Akemi;;Copacabana;-22.96539792;-43.18018749;Private room;282;4;0;;;1;0
10471178;Rented Room;53957975;Jercilene;;Botafogo;-22.94132122;-43.17933175;Private room;113;1;0;;;1;365
13904442;Renting for season;55664096;Julio;;Centro;-22.90939116;-43.18420169;Entire home/apt;300;1;0;;;1;364
21408441;Repouso do Corcovado Hostel;155118499;Phellipe;;Cosme Velho;-22.94420896;-43.20494111;Shared room;41;1;1;2/11/2017;0.09;1;365
29034195;Republica Attitude;178957355;Katia Helena;;Centro;-22.91724262;-43.18884942;Shared room;60;1;0;;;1;87
8462593;Republica estudantes e Turistas;44530218;Jessica;;Copacabana;-22.98185887;-43.19713991;Shared room;41;3;0;;;1;0
23682299;Reserva do Pontal Praia;177357798;Raquel;;Recreio dos Bandeirantes;-23.03134266;-43.47566232;Entire home/apt;300;2;0;;;1;0
10844062;Residência Art Déco em Santa Teresa;49685615;Betina;;Santa Teresa;-22.93104847;-43.19618987;Entire home/apt;654;1;0;;;1;365
14283639;Residência Lagoa Total;18866532;Isa;;Lagoa;-22.97349072;-43.2054362;Entire home/apt;2798;1;0;;;2;364
12649122;Residencial com serviço no Recreio;59405471;Meire;;Recreio dos Bandeirantes;-23.02246898;-43.48848323;Entire home/apt;252;3;0;;;1;362
22292009;Residencial com serviços - Barra da Tijuca;45717193;Aluisio;;Jacarepaguá;-22.96661382;-43.38633486;Entire home/apt;349;3;0;;;1;285
22088834;Residencial Verano;;;;;;;;;;;;;;
21378800;Residencial Verano Stay com serviços 1;11671430;Cristina;;Jacarepaguá;-22.9684197;-43.38839619;Entire home/apt;131;5;7;20/08/2018;0.61;12;160
21298105;Residencial Verano Stay com serviços 3;11671430;Cristina;;Jacarepaguá;-22.96936573;-43.38656868;Entire home/apt;120;5;3;21/08/2018;0.28;12;0
10866246;Residential Vila in the Baixo Gávea Top;37243430;Erika;;Gávea;-22.97610322;-43.22993036;Private room;101;1;0;;;2;363
11504124;RESORT NA BARRA PARA OLIMPÍADAS;60406799;Alberto;;Barra da Tijuca;-22.9874779;-43.3568734;Entire home/apt;901;30;0;;;1;365
3792553;Resort Praia do Pontal;13196759;Maria Del Carmen;;Recreio dos Bandeirantes;-23.03044167;-43.47115866;Entire home/apt;252;2;1;22/08/2016;0.04;2;365
15954965;REVEILLON Apt  Novo Copacabana;64541067;Marcia;;Copacabana;-22.9627063;-43.17754081;Entire home/apt;199;5;0;;;1;89
20910570;Reveillon, Eventos, Férias, Passeio, Feriado 13;147191098;Jorge;;Jacarepaguá;-22.96341421;-43.39793359;Entire home/apt;2163;1;0;;;30;365
20927441;Reveillon, Eventos, Férias, Passeio, Feriado 21;147191098;Jorge;;Jacarepaguá;-22.96406493;-43.39734101;Private room;1198;1;0;;;30;365
20885641;Reveillon, Eventos, Férias, Passeio, Feriado 7;147191098;Jorge;;Jacarepaguá;-22.96032222;-43.37812609;Private room;999;1;0;;;30;365
16081940;RHR- 2 suites Frontal mar Novissimo!;26959477;Rafaela;;Barra da Tijuca;-23.00889146;-43.35863149;Entire home/apt;699;5;0;;;11;362
9826003;Rio - Gávea Ano Inteiro;50587733;Marcus Vinicius A;;Gávea;-22.98051749;-43.23201999;Entire home/apt;195;2;2;25/06/2016;0.06;2;346
14468607;RIO 2016 OLYMPIC GAMES;24069450;Joao;;Barra da Tijuca;-23.00729022;-43.33036018;Entire home/apt;1878;7;0;;;1;365
29124792;Rio Centro Apart Hotel;74610084;Luis Alberto;;Jacarepaguá;-22.97443869;-43.41466161;Private room;101;3;0;;;3;317
6700121;RIO CENTRO E ROCK IN RIO - VÁ A PÉ;14591272;Paula;;Jacarepaguá;-22.97285603;-43.4150866;Entire home/apt;150;3;5;28/05/2018;0.13;1;364
12366745;Rio de Janeiro;36349472;Thiago;;Grajaú;-22.92194133;-43.26493895;Entire home/apt;451;4;0;;;1;362
13598699;Rio de Janeiro - Ipanema - 1OO mt to the beach.;76162985;Lilly;;Ipanema;-22.98501679;-43.20224128;Private room;331;3;0;;;2;269
7773022;Rio de Janeiro - Recreio;24575466;Anna Luiza;;Recreio dos Bandeirantes;-23.03069966;-43.47465931;Entire home/apt;849;7;4;19/05/2018;0.12;1;260
888607;RIO DE JANEIRO - SOL, LAZER  E BELAS PRAIAS!;4591208;Vera;;Recreio dos Bandeirantes;-23.01332074;-43.4458709;Entire home/apt;222;2;16;25/02/2018;0.23;1;225
4615449;RIO DE JANEIRO ARPOADOR;10768931;Boris;;Copacabana;-22.98682398;-43.1919094;Entire home/apt;3756;30;0;;;1;364
1104115;Rio de Janeiro confederation cup ap;6063933;Robert;;Anil;-22.96226351;-43.33578791;Entire home/apt;4263;17;0;;;1;365
97636;Rio de Janeiro for you! Go for it!;496656;Marcia  Longras;;Botafogo;-22.94244517;-43.18762774;Private room;109;7;15;4/10/2016;0.18;8;365
12846382;Rio Flat Leblon TE- SB;70159544;Temporada Express;;Leblon;-22.98446486;-43.21754768;Entire home/apt;533;3;0;;;31;296
21760373;RIO GUEST;16788566;Nick;;Barra da Tijuca;-23.01184871;-43.32819307;Entire home/apt;282;1;16;21/09/2018;1.46;1;157
11738239;Rio Olympics Game 2016 Rio 2 Verano;59624792;Claudia;;Jacarepaguá;-22.97266904;-43.3864508;Entire home/apt;781;1;0;;;2;364
23077196;Rio Rentals 021 - C001 Super reformed studio in Copacabana, hyper comfortable for up to 4 people.;171256195;Andre;;Copacabana;-22.96459442;-43.17539501;Entire home/apt;218;2;0;;;15;139
27635063;Rio Rentals 021 - U001 Cozy and quiet apartment for 4 people in Copacabana;171256195;Andre;;Copacabana;-22.96301274;-43.17663017;Entire home/apt;154;1;0;;;15;124
25133279;Rio Spot Elegance T032;13580277;Marcio;;Copacabana;-22.97276628;-43.18743893;Entire home/apt;496;3;0;;;62;201
928091;RIO WAY OF LIFE!!!!;4995708;Gabriela;;Humaitá;-22.95830068;-43.20017126;Private room;180;1;0;;;1;365
28888876;Rio019-Beautiful 5 bedroom mansion in Santa Teresa;22805631;Latin Exclusive;;Santa Teresa;-22.93256705;-43.19759479;Entire home/apt;7906;4;0;;;75;263
22461052;Rio035-Large apartment beachfront in Copacabana;22805631;Latin Exclusive;;Copacabana;-22.98398273;-43.19028051;Entire home/apt;2629;4;0;;;75;0
8160659;Rio100-Apartment in Ipanema in serviced building;22805631;Latin Exclusive;;Lagoa;-22.97920461;-43.2023158;Entire home/apt;488;4;2;9/01/2018;0.08;75;365
11562838;Rio403-New Apartment in Ipanema on General Osorio;22805631;Latin Exclusive;;Ipanema;-22.98572856;-43.19621922;Entire home/apt;751;4;6;23/02/2018;0.19;75;83
5218960;Rio's Spot Apartment Copacanaba Carnaval;26922963;Marjorie;;Copacabana;-22.9660155;-43.18094582;Entire home/apt;199;2;0;;;1;365
19175019;RioStay Residence Riocentro - com 1 suíte completa;22240461;Luis Eduardo;;Jacarepaguá;-22.9744827;-43.41356629;Private room;150;2;1;21/08/2018;0.57;2;187
1961700;ROCK IN RIO / RIO CENTRO CONFERENCE CENTER;10136437;Neusa;;Barra da Tijuca;-23.00753599;-43.42915386;Entire home/apt;252;3;1;16/08/2016;0.04;1;363
20896819;Rock in rio 10;82464276;Heloisa;;Jacarepaguá;-22.96364972;-43.3992591;Private room;999;1;0;;;9;365
20885052;Rock in rio 5;82464276;Heloisa;;Jacarepaguá;-22.96394897;-43.39756409;Private room;699;1;0;;;9;365
17383598;ROCK IN RIO SOLTEIRO ÓTIMO QUARTO;87374635;Gabriel;;Jacarepaguá;-22.96587131;-43.40269746;Entire home/apt;146;1;0;;;2;179
19911513;Rooftop bedroom SugarLoaf and Christ view!;2316668;Ciça;;Flamengo;-22.94327423;-43.17357591;Private room;158;3;1;28/06/2018;0.28;2;177
890034;ROOM 2 - POSTO 6 - COPACABANA;4535122;Mary;;Copacabana;-22.98027328;-43.19416057;Private room;79;3;80;23/07/2018;1.16;2;355
1644354;room for 2 close to the beach;2730736;Ana;;Recreio dos Bandeirantes;-23.02765622;-43.4798362;Private room;113;2;4;7/01/2017;0.15;2;364
14057080;Room for rent in Lagoa;84347278;Vivian;;Lagoa;-22.96192468;-43.20343176;Private room;349;1;0;;;1;362
20834529;Room for two in the heart of Copacabana;69789525;Luiza;;Copacabana;-22.96519685;-43.18013235;Private room;101;2;5;9/09/2018;0.38;2;90
146028;Room for two people;706545;Brunna;;Catete;-22.92590836;-43.18032612;Shared room;751;2;0;;;1;365
3074906;Room in Botafogo beach;15648458;Rodrigo;;Flamengo;-22.94020434;-43.17807999;Private room;56;3;18;24/10/2016;0.34;1;180
899510;Room in Copacabana with TV, Jacuzzi;4802327;Silvia;;Copacabana;-22.97686724;-43.19342833;Private room;500;7;0;;;4;365
1336687;Room in cozy, nice and roomy flat!;7248384;Marianna;;Botafogo;-22.95417938;-43.19475538;Private room;222;5;7;11/01/2015;0.12;1;0
13847292;Room in Flamengo;11555320;Mila;;Flamengo;-22.93667524;-43.17774031;Private room;342;1;0;;;5;89
13325633;Room in Rio de Janeiro (Olympic Games);21484008;André;;Laranjeiras;-22.93690332;-43.18690836;Private room;620;4;0;;;2;0
424916;Room in the middle of Copacabana and Ipanema;2112725;Monica;;Copacabana;-22.98125993;-43.19433221;Private room;101;2;15;24/06/2018;0.27;4;61
1316224;Room near Estrada dos Bandeirantes;7149993;Tamara;;Taquara;-22.9452639;-43.37188828;Private room;71;1;6;24/09/2017;0.16;1;365
10915805;Room with a beautiful view;13328389;Cintia;;Itanhangá;-22.99016397;-43.30157847;Private room;94;3;0;;;4;365
8147857;ROOM WITH BREAKFAST;43018466;Isabella;;Copacabana;-22.98233862;-43.19270978;Private room;94;1;113;20/08/2018;3.09;1;318
22162608;RoomCopa;160772501;Carlos;;Copacabana;-22.97802254;-43.19160403;Private room;101;1;0;;;2;365
9622218;Roomed Apartment in Ipanema (80m2);1402255;Rodrigo;;Ipanema;-22.98567787;-43.19579549;Entire home/apt;199;6;0;;;1;0
2988850;Rooms for rent;67977;Louis;;Osvaldo Cruz;-22.87631411;-43.35524298;Entire home/apt;300;1;0;;;2;0
23340953;Roxy Studio;173866575;Arnobio;;Copacabana;-22.97659143;-43.18901476;Entire home/apt;120;1;3;19/08/2018;0.45;3;0
2806911;Sala 2 quartos ;13338697;João Carlos;;Catete;-22.92692766;-43.17714053;Entire home/apt;1998;15;0;;;1;365
17574111;Sala e Quarto Mais Charmoso de Copacabana;46082356;Patrícia;;Copacabana;-22.98084825;-43.19403995;Entire home/apt;90;5;23;25/09/2018;1.62;4;257
22372472;Sala e quarto no melhor condomínio da lapa;86556276;Ilton;;Centro;-22.91333202;-43.18027015;Private room;300;1;0;;;3;0
4025406;Sala,Quarto+Mini-suíte - Copac/Ipan;2156021;Gilson;;Copacabana;-22.98269194;-43.19523301;Entire home/apt;165;2;13;15/02/2018;0.28;3;96
15936745;Sale/Promoção - Lindo Studio em Copacabana;99500285;Rodrigo;;Copacabana;-22.97247028;-43.18735796;Entire home/apt;139;3;67;7/10/2018;2.97;1;54
27600392;Santa Teresa Guest Suite;3441430;Blas;;Cosme Velho;-22.94403677;-43.2048011;Entire home/apt;90;3;0;;;2;336
28279625;Santa Teresa Lindo Loft Decorado;657280;Fernando;;Santa Teresa;-22.91751411;-43.18087616;Entire home/apt;90;2;0;;;2;44
13239477;Season next to beach and Rio Centro,;27240805;Jose;;Recreio dos Bandeirantes;-23.02006049;-43.45589066;Entire home/apt;376;2;3;24/09/2017;0.11;1;178
8993247;Seasonal Copacabana Apartment;46975659;Magno;;Copacabana;-22.96884493;-43.18624998;Entire home/apt;154;3;24;1/04/2018;0.71;1;352
24632667;Segurança e Requinte na melhor rua de Copacabana;186153877;Leonardo;;Copacabana;-22.96465917;-43.18216785;Entire home/apt;252;3;1;10/05/2018;0.19;1;249
10810702;Serenité single room Ipanema;55952400;Norma;;Ipanema;-22.98623486;-43.19242416;Private room;192;1;7;22/01/2018;0.27;2;364
21906025;Sheraton Apart Hotel 2 suites services LUXURY;59013736;Marcio;;Barra da Tijuca;-23.01151358;-43.32709951;Entire home/apt;699;20;0;;;17;50
12999942;SHERATON APART RESORT BARRA B1-003*;31275569;André;;Barra da Tijuca;-23.01062393;-43.32557301;Entire home/apt;518;1;1;31/07/2016;0.04;114;112
